origin,target,distance
3174515,3174510,3.2
3174515,3174530,9.9
3174515,3174260,5.3
3174515,3174516,8.2
3174515,3174497,1.9
3174515,3174030,7.1
3174515,3174052,4
3174515,3174420,5
3174515,3174416,5.9
3174515,3174508,4.3
3174515,3174486,5.4
3174515,3174015,7.8
3174519,3174074,10.1
3174519,3174517,13.2
3174519,3174518,1.6
3174519,3174525,16.1
3174519,3174529,11.5
3174519,3174522,4
3174519,3174063,13.7
3174519,3174041,11.1
3174519,3174431,2.3
3174519,3174515,11.6
3174519,3174026,16.4
3174519,3174527,12.6
3174519,3174351,13.2
3174519,3174510,13
3174519,3174530,14.6
3174519,3174260,13.5
3174519,3174516,12.6
3174519,3174497,11
3174519,3174030,15.4
3174519,3174052,8.7
3174519,3174420,14.8
3174519,3174416,24.1
3174519,3174508,10.1
3174519,3174486,11.1
3174519,3174015,12.5
3174026,3174074,15.3
3174026,3174517,12.4
3174026,3174518,16.4
3174026,3174525,7.1
3174026,3174529,8.2
3174026,3174522,21.5
3174026,3174063,2.7
3174026,3174041,7.5
3174026,3174431,16
3174026,3174515,8.3
3174026,3174519,17.4
3174026,3174527,4.8
3174026,3174351,8.2
3174026,3174510,5.7
3174026,3174530,5.2
3174026,3174260,3.5
3174026,3174516,6.2
3174026,3174497,6.2
3174026,3174030,1.1
3174026,3174052,10.8
3174026,3174420,6.9
3174026,3174416,2.8
3174026,3174508,11
3174026,3174486,5.4
3174026,3174015,3.9
3174527,3174074,10.7
3174527,3174517,7.4
3174527,3174518,12.2
3174527,3174525,10
3174527,3174529,4
3174527,3174522,16.3
3174527,3174063,3.8
3174527,3174041,4.1
3174527,3174431,11
3174527,3174515,2.7
3174527,3174519,13.2
3174527,3174026,5.5
3174527,3174351,4.1
3174527,3174510,3.9
3174527,3174530,7.6
3174527,3174260,4.3
3174527,3174516,5.7
3174527,3174497,1.8
3174527,3174030,5.4
3174527,3174052,4.3
3174527,3174420,5.7
3174527,3174416,3.4
3174527,3174508,6.5
3174527,3174486,3.2
3174527,3174015,5.6
3174351,3174074,16
3174351,3174517,3.6
3174351,3174518,12.6
3174351,3174525,11
3174351,3174529,3.3
3174351,3174522,17.1
3174351,3174063,5.8
3174351,3174041,7
3174351,3174431,11.4
3174351,3174515,2.1
3174351,3174519,13.6
3174351,3174026,8
3174351,3174527,2.8
3174351,3174510,2.6
3174351,3174530,8.8
3174351,3174260,5.6
3174351,3174516,8.2
3174351,3174497,2.2
3174351,3174030,7.4
3174351,3174052,4.4
3174351,3174420,4.4
3174351,3174416,5.9
3174351,3174508,5.7
3174351,3174486,6.8
3174351,3174015,6.9
3174510,3174074,18.7
3174510,3174517,6.2
3174510,3174518,15.3
3174510,3174525,12.1
3174510,3174529,4.4
3174510,3174522,16.7
3174510,3174063,5.9
3174510,3174041,7.2
3174510,3174431,13.6
3174510,3174515,3.2
3174510,3174519,16.3
3174510,3174026,5.2
3174510,3174527,4
3174510,3174351,2.7
3174510,3174530,10
3174510,3174260,6.7
3174510,3174516,9.6
3174510,3174497,3.3
3174510,3174030,4.2
3174510,3174052,5.5
3174510,3174420,2.5
3174510,3174416,4.4
3174510,3174508,6.8
3174510,3174486,6.8
3174510,3174015,8
3174530,3174074,15
3174530,3174517,11.8
3174530,3174518,14.8
3174530,3174525,2.6
3174530,3174529,10.5
3174530,3174522,21.7
3174530,3174063,5.3
3174530,3174041,4.5
3174530,3174431,13.5
3174530,3174515,9.4
3174530,3174519,15.8
3174530,3174026,5.6
3174530,3174527,6.9
3174530,3174351,8.5
3174530,3174510,10
3174530,3174260,5.1
3174530,3174516,3.5
3174530,3174497,9.4
3174530,3174030,6.6
3174530,3174052,8.6
3174530,3174420,11.8
3174530,3174416,7.3
3174530,3174508,12.9
3174530,3174486,4.8
3174530,3174015,3.3
3174260,3174074,19.7
3174260,3174517,11.5
3174260,3174518,16.2
3174260,3174525,7.8
3174260,3174529,10.2
3174260,3174522,20.5
3174260,3174063,0.26
3174260,3174041,6.5
3174260,3174431,15
3174260,3174515,8.7
3174260,3174519,17.2
3174260,3174026,2.9
3174260,3174527,6.4
3174260,3174351,8.1
3174260,3174510,6.3
3174260,3174530,5.9
3174260,3174516,8
3174260,3174497,7.8
3174260,3174030,1.9
3174260,3174052,10.2
3174260,3174420,6.3
3174260,3174416,3.1
3174260,3174508,12.6
3174260,3174486,6.3
3174260,3174015,5.8
3174516,3174074,10.4
3174516,3174517,10.6
3174516,3174518,11.9
3174516,3174525,7.5
3174516,3174529,7.8
3174516,3174522,16.2
3174516,3174063,4.3
3174516,3174041,1.9
3174516,3174431,10.7
3174516,3174515,7.9
3174516,3174519,12.9
3174516,3174026,6.9
3174516,3174527,4.8
3174516,3174351,7.2
3174516,3174510,8.8
3174516,3174530,4.6
3174516,3174260,4
3174516,3174497,6.2
3174516,3174030,5.9
3174516,3174052,5.9
3174516,3174420,10.5
3174516,3174416,7.6
3174516,3174508,11.7
3174516,3174486,2
3174516,3174015,1.7
3174497,3174074,9
3174497,3174517,6
3174497,3174518,10.5
3174497,3174525,10.5
3174497,3174529,5.4
3174497,3174522,5.5
3174497,3174063,5
3174497,3174041,4.8
3174497,3174431,9.2
3174497,3174515,1.7
3174497,3174519,10.9
3174497,3174026,6.7
3174497,3174527,1.5
3174497,3174351,2.9
3174497,3174510,2.7
3174497,3174530,8.4
3174497,3174260,5.2
3174497,3174516,6.4
3174497,3174030,7.7
3174497,3174052,3
3174497,3174420,4.4
3174497,3174416,4.5
3174497,3174508,5.5
3174497,3174486,4
3174497,3174015,6.3
3174030,3174074,19.4
3174030,3174517,11.2
3174030,3174518,19
3174030,3174525,8.1
3174030,3174529,4.2
3174030,3174522,25.6
3174030,3174063,3.7
3174030,3174041,6.2
3174030,3174431,14.7
3174030,3174515,8.2
3174030,3174519,16.9
3174030,3174026,1.1
3174030,3174527,5.9
3174030,3174351,7.8
3174030,3174510,4.7
3174030,3174530,6.2
3174030,3174260,4.6
3174030,3174516,7.7
3174030,3174497,7.3
3174030,3174052,9.9
3174030,3174420,4.7
3174030,3174416,2.6
3174030,3174508,12.3
3174030,3174486,6
3174030,3174015,6
3174052,3174074,7.7
3174052,3174517,7.7
3174052,3174518,9.2
3174052,3174525,9.8
3174052,3174529,3
3174052,3174522,13.5
3174052,3174063,6.5
3174052,3174041,4.3
3174052,3174431,8
3174052,3174515,3.1
3174052,3174519,9.7
3174052,3174026,8.9
3174052,3174527,3.7
3174052,3174351,4.5
3174052,3174510,4.3
3174052,3174530,7.9
3174052,3174260,6.1
3174052,3174516,5.9
3174052,3174497,2.2
3174052,3174030,8.1
3174052,3174420,6.1
3174052,3174416,6.8
3174052,3174508,7
3174052,3174486,3.1
3174052,3174015,5.7
3174420,3174074,16.3
3174420,3174517,7.2
3174420,3174518,7.2
3174420,3174525,13.2
3174420,3174529,8.1
3174420,3174522,22.1
3174420,3174063,8.1
3174420,3174041,8.1
3174420,3174431,13.4
3174420,3174515,4.9
3174420,3174519,15.6
3174420,3174026,5.9
3174420,3174527,5.7
3174420,3174351,4.4
3174420,3174510,2.9
3174420,3174530,11.2
3174420,3174260,7.8
3174420,3174516,10.9
3174420,3174497,5
3174420,3174030,4.9
3174420,3174052,7.2
3174420,3174416,5.2
3174420,3174508,8.6
3174420,3174486,9.2
3174420,3174015,9.3
3174416,3174074,13
3174416,3174517,9.8
3174416,3174518,14.6
3174416,3174525,8.9
3174416,3174529,3.6
3174416,3174522,24.2
3174416,3174063,3.5
3174416,3174041,4.8
3174416,3174431,13.3
3174416,3174515,5.5
3174416,3174519,15.5
3174416,3174026,3
3174416,3174527,3.2
3174416,3174351,6.5
3174416,3174510,3.8
3174416,3174530,6.6
3174416,3174260,3.2
3174416,3174516,6.3
3174416,3174497,4.6
3174416,3174030,2
3174416,3174052,6.9
3174416,3174420,4
3174416,3174508,9.4
3174416,3174486,4.6
3174416,3174015,3.7
3174508,3174074,11
3174508,3174517,4.1
3174508,3174518,7.6
3174508,3174525,14.4
3174508,3174529,9.4
3174508,3174522,10.5
3174508,3174063,9.3
3174508,3174041,10.5
3174508,3174431,6.4
3174508,3174515,4.2
3174508,3174519,8
3174508,3174026,12
3174508,3174527,6.6
3174508,3174351,6
3174508,3174510,6.8
3174508,3174530,12.4
3174508,3174260,9.1
3174508,3174516,12
3174508,3174497,5.4
3174508,3174030,11
3174508,3174052,5.3
3174508,3174420,8.6
3174508,3174416,9.8
3174508,3174486,8.2
3174508,3174015,10.4
